Description,Offense,Punishment,Section
"b'Description of IPC Section 136\nAccording to section 136 of Indian penal code, Whoever, except as hereinafter excepted, knowing or having reason to believe that an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, has deserted, harbours such officer, soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine or with both.\n\n\nIPC 136 in Simple Words\nIf someone knowingly shelters or hides a deserted officer, soldier, sailor, or airman from the Indian Army, Navy, or Air Force, they can be punished with up to two years in jail, a fine, or both.'","b'Harbouring such an officer, soldier, sailor or airman who has deserted'",b'2 Years or Fine or Both',b'IPC_136'
"b'Description of IPC Section 122\nAccording to section 122 of Indian penal code, Whoever collects men, arms or ammunition or otherwise prepares to wage war with the intention of either waging or being prepared to wage war against the Government of India, shall be punished with imprisonment for life or imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine.\n\n\nIPC 122 in Simple Words\nIf someone gathers people, weapons, or prepares for war with the intention of waging or being ready to wage war against the Government of India, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.'","b'Collecting arms, etc., with The intention of waging War against the Government of India'",b'Imprisonment for Life or 10 Years + Fine',b'IPC_122'
"b'Description of IPC Section 137\nAccording to section 137 of Indian penal code, The master or person in charge of a merchant vessel, on board of which any deserter from the Army, Navy or Air Force of the Government of India is concealed, shall, though ignorant of such concealment, be liable to a penalty not exceeding five hundred rupees, if he might have known of such concealment but for some neglect of his duty as such master or person in charge, or but for some want of discipline on board of the vessel.\n\n\nIPC 137 in Simple Words\nIf a deserter from the Indian Army, Navy, or Air Force is hidden on a merchant vessel, and the master or person in charge could have known about it but neglected their duty or lacked discipline, they can be penalized with a fine of up to five hundred rupees, even if they were unaware of the concealment.'","b'Deserter concealed on board merchant vessel, through negligence of master or person in charge thereof'",b'Fine',b'IPC_137'
"b'Description of IPC Section 138\nAccording to section 138 of Indian penal code, Whoever abets what he knows to be an act of insubordination by an officer, soldier, sailor or airman, in the Army, Navy or air Force, of the Government of India, shall, if such act of insubordination be committed in consequence of that abetment, be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.\n\n\nIPC 138 in Simple Words\nIf someone encourages and supports an act of insubordination by a military officer, soldier, sailor, or airman, and that act is committed as a result, they can be punished with up to six months in jail, a fine, or both.'","b'Abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence'",b'6 Months or Fine or Both',b'IPC_138'
"b'Description of IPC Section 121A\nAccording to section 121A of Indian penal code, Whoever within or without India conspires to commit any of the offences punishable by section 121, or conspires to overawe, by means of criminal force or the show of criminal force, the Central Government or any State Government, shall be punished with imprisonment for life, or with imprisonment of either description which may extend to ten years, and shall also be liable to fine.\n\n\nIPC 121A in Simple Words\nSection 121A of the Indian Penal Code states that anyone who conspires to commit certain serious offences or intends to use criminal force against the Central Government or any State Government may face punishment of life imprisonment or imprisonment up to ten years, along with a possible fine.'",b'Conspiring to commit certain offences against the State',b'Imprisonment for Life or 10 Years + Fine',b'IPC_121A'
"b'Description of IPC Section 122\nAccording to section 122 of Indian penal code, Whoever collects men, arms or ammunition or otherwise prepares to wage war with the intention of either waging or being prepared to wage war against the Government of India, shall be punished with imprisonment for life or imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine.\n\n\nIPC 122 in Simple Words\nIf someone gathers people, weapons, or prepares for war with the intention of waging or being ready to wage war against the Government of India, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.'","b'Collecting arms, etc., with The intention of waging War against the Government of India'",b'Imprisonment for Life or 10 Years + Fine',b'IPC_122'
"b'Description of IPC Section 123\nAccording to section 123 of Indian penal code, Whoever, by any act, or by any illegal omission, conceals the existence of a design to wage war against the Government of India, intending by such concealment to facilitate, or knowing it to be likely that such concealment will facilitate, the waging of such war, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.\n\n\nIPC 123 in Simple Words\nIf someone hides or fails to report a plan to wage war against the Government of India, intending to help or knowing it might help the war, they can be punished with imprisonment of up to ten years and may also be fined.'",b'Concealing with intent to facilitate a design to wage War',b'10 Years + Fine',b'IPC_123'
"b'Description of IPC Section 124\nAccording to section 124 of Indian penal code, Whoever, with the intention of inducing or compelling the President of India, or Governor of any State, to exercise or refrain from exercising in any manner any of the lawful powers of such President or Governor, assaults or wrongfully restrains, or attempts wrongfully to restrain, or overawes, by means of criminal force or the show of criminal force, or attempts so to overawe, such President or Governor, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.\n\n\nIPC 124 in Simple Words\nIf someone assaults or wrongfully restrains the President of India or Governor of a State with the intention of influencing their lawful powers, they can be punished with imprisonment of up to seven years and may also be fined.'","b'Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power'",b'7 Years + Fine',b'IPC_124'
"b'Description of IPC Section 124A\nAccording to section 124A of Indian penal code, Whoever by words, either spoken or written, or by signs, or by visible representation, or otherwise, brings or attempts to bring into hatred or contempt, or excites or attempts to excite disaffection towards, the Government established by law in India, a shall be punished with imprisonment for life, to which fine may be added, or with imprisonment which may extend to three years, to which fine may be added, or with fine.\n\n\nIPC 124A in Simple Words\nSection 124A of the Indian Penal Code punishes those who attempt to bring hatred, contempt, or disaffection towards the Government of India through spoken or written words, signs, or visible representations, with either life imprisonment or imprisonment up to three years, along with a possible fine.'",b'Sedition',b'Imprisonment for Life + Fine or 3 Years + Fine or Fine',b'IPC_124A'
"b'Description of IPC Section 125\nAccording to section 125 of Indian penal code, Whoever wages war against the Government of any Asiatic Power in alliance or at peace with the Government of India or attempts to wage such war, or abets the waging of such war, shall be punished with imprisonment for life, to which fine may be added, or with imprisonment of either description for a term which may extend to seven years, to which fine may be added, or with fine.\n\n\nIPC 125 in Simple Words\nIf someone wages war against or attempts to wage war against a Government of an Asian country allied or at peace with India, or aids in doing so, they can be punished with life imprisonment, or imprisonment of up to seven years, and may also be fined.'","b'Waging war against any Asiatic power in alliance or at peace with the Government of India, or abetting the waging of such war'",b'Imprisonment for Life + Fine or 7 Years + Fine or Fine',b'IPC_125'
